datetime,VOC,CO2,humidity,temperature,water_temperature,pH,EC
2020-05-26 22:16:16,0.9,411.3,35.0,24.0,21.87,-1.0,-1.0
2020-05-27 01:27:12,6.2,406.0,35.0,24.0,22.00,-1.0,-1.0
2020-05-27 11:26:26,0.4,406.9,38.0,24.0,22.12,-1.0,-1.0
2020-05-27 23:25:29,0.0,418.8,40.0,25.0,22.44,6.9,0.0
2020-05-28 23:11:39,0.4,404.0,47.0,22.0,22.19,-1.0,-1.0
2020-05-29 13:10:34,0.0,412.3,35.0,25.0,21.94,-1.0,-1.0
2020-05-29 23:09:48,0.8,415.0,35.0,24.0,22.31,-1.0,-1.0
2020-05-30 11:08:52,0.3,408.5,38.0,24.0,22.00,7.23,0.0
2020-05-31 05:18:26,0.5,404.5,48.0,22.0,21.62,-1.0,-1.0
2020-05-31 10:49:46,1.2,414.4,38.0,24.0,21.62,6.71,0.0
2020-05-31 22:39:47,0.1,411.4,41.0,24.0,21.62,6.82,0.0
2020-06-01 10:51:54,0.8,414.0,39.0,24.0,21.44,6.89,0.0
2020-06-01 22:40:12,0.1,404.7,40.0,22.0,21.81,7.26,0.0
2020-06-02 10:48:18,0.7,410.0,50.0,22.0,21.75,6.95,0.0
2020-06-02 23:26:10,0.0,406.5,38.0,24.0,21.31,6.88,0.0
2020-06-03 18:06:08,0.1,415.4,41.0,24.0,21.56,6.77,0.0
2020-06-05 22:52:21,0.0,405.5,52.0,21.0,21.44,6.71,0.0
2020-06-07 11:56:25,0.4,409.4,62.0,19.0,17.81,-1.0,-1.0
2020-06-07 22:55:34,0.0,406.6,47.0,21.0,17.94,-1.0,-1.0
2020-06-08 11:55:32,0.3,410.2,53.0,20.0,17.94,6.68,0.0
2020-06-08 23:07:57,0.2,412.7,58.0,20.0,17.75,6.64,0.0
2020-06-09 12:17:50,0.0,408.3,47.0,20.0,17.62,6.68,0.44
2020-06-10 00:23:27,0.4,405.9,51.0,21.0,17.50,8.03,0.45
2020-06-10 11:52:39,1.3,414.0,54.0,21.0,18.44,6.85,0.47
2020-06-10 23:31:26,0.4,408.4,51.0,23.0,18.87,-1.0,0.0
2020-06-11 11:32:28,0.1,410.9,59.0,22.0,19.69,-1.0,-1.0
2020-06-11 12:47:56,0.1,408.2,64.0,21.0,19.56,7.58,0.42
2020-06-11 16:17:46,0.8,406.6,61.0,22.0,19.12,7.05,0.0
2020-06-12 13:33:12,0.2,404.9,69.0,19.0,19.56,7.3,-1.0
2020-06-12 16:33:42,1.3,406.6,60.0,22.0,19.31,-1.0,-1.0
2020-06-12 18:33:33,0.4,406.2,60.0,21.0,19.25,-1.0,-1.0
2020-06-12 20:33:24,0.0,408.3,59.0,21.0,19.25,-1.0,-1.0
2020-06-12 21:48:15,0.0,405.6,55.0,22.0,19.31,-1.0,-1.0
2020-06-12 23:33:11,0.7,406.6,52.0,24.0,19.37,7.15,-1.0
2020-06-13 16:48:40,0.3,413.5,59.0,21.0,19.12,7.98,0.7
2020-06-13 18:06:39,0.5,410.4,,,19.12,6.9,0.0
2020-06-14 16:20:31,0.5,409.0,53.0,22.0,19.50,7.21,0.61
2020-06-14 17:23:35,0.2,409.5,62.0,22.0,19.44,-1.0,-1.0
2020-06-14 19:23:27,0.3,410.8,54.0,23.0,19.50,-1.0,-1.0
2020-06-14 22:56:53,0.1,411.9,45.0,24.0,19.62,7.79,0.68
2020-06-15 12:36:05,0.5,411.4,60.0,22.0,19.62,6.97,-1.0
2020-06-15 14:55:21,0.0,405.4,5.0,19.0,19.50,7.1,1.2
2020-06-15 16:05:37,1.3,414.1,58.0,22.0,19.44,7.0,-1.0
2020-06-15 17:10:59,1.4,409.2,65.0,22.0,19.37,-1.0,-1.0
2020-06-15 18:20:22,1.3,407.8,59.0,22.0,19.37,-1.0,0.0
2020-06-15 18:38:39,0.1,409.9,64.0,21.0,19.37,-1.0,-1.0
2020-06-15 19:16:00,0.7,406.1,59.0,23.0,19.37,5.69,1.06
2020-06-15 20:01:00,0.7,413.1,52.0,23.0,19.37,5.73,-1.0
2020-06-15 21:35:04,0.4,410.1,59.0,22.0,19.50,-1.0,-1.0
2020-06-15 22:01:31,0.1,411.9,50.0,23.0,19.50,-1.0,-1.0
2020-06-15 22:52:18,0.3,406.4,47.0,25.0,19.56,5.81,1.06
2020-06-16 12:24:36,0.1,407.0,61.0,21.0,19.69,-1.0,-1.0
2020-06-16 15:04:55,0.3,408.7,56.0,22.0,19.56,5.75,-1.0
2020-06-16 17:06:50,1.0,411.7,63.0,22.0,19.44,5.62,1.03
